ID,Identifier,Title,Description,Repository,Sequence,Taxonomy,Sub Skills,Purpose,Enable Feedback,Is Atomic,Gradient,Group Name,Content Ids,Instruction Text,Status,Is Active,X ID,Created By,V,Updated By,Created At,Updated At
68498c2bcd293e78f449d01c,fa9d4669-5789-4205-83a8-fa0089c87747,"{""en"":""Division_Introduction to Long division Method_1.Relation between Multiplication and Division_G1_20_v1.5""}","{""en"":""""}","{""identifier"":""d8d0b0b7-5938-42e2-8393-001919b140c3"",""name"":{""en"":""AML_b""},""_id"":""68498c2bcd293e78f449d01d""}",4,"{""board"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334f"",""name"":{""en"":""CBSE""}},""class"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4246"",""name"":{""en"":""class-three"",""hi"":""तीन"",""kn"":""ಮೂರು""}},""l1_skill"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334m"",""name"":{""en"":""Division"",""hi"":""भाग"",""kn"":""ಭಾಗ"",""or"":""ହରଣ""}},""l2_skill"":[{""identifier"":""0864fe37-1d25-4b0c-b9d6-c2e513dd7c56"",""name"":{""en"":""Introduction to Long division Method"",""ka"":""ಒಲವಾಯ್ತುDL2_1""},""_id"":""68498c2bcd293e78f449d01f""}],""l3_skill"":[{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4230"",""name"":{""en"":""Relation between Multiplication and Division""},""_id"":""6880e07de85d99f523c6cda5""}],""_id"":""68498c2bcd293e78f449d01e"",""l2_5_skill"":{""identifier"":""a99a103a-9dac-479e-8f6a-a8744d66ba02"",""name"":{""en"":""Relationship between Multiplication and Division""}}}",[],Worksheet,true,false,G1,,"[""563443a7-70b0-46f2-9211-038bb2490271""]",,live,true,qs_div_008_b,system,0,,"January 30, 2025, 11:33 AM","July 23, 2025, 1:22 PM"
68498c2bcd293e78f449d021,fd3f02ee-b4b5-40a1-9477-28f0ffaa4483,"{""en"":""Division_Introduction to Long division Method_1.Relation between Multiplication and Division_G3_20_v1.5""}","{""en"":""""}","{""identifier"":""d8d0b0b7-5938-42e2-8393-001919b140c3"",""name"":{""en"":""AML_b""},""_id"":""68498c2bcd293e78f449d022""}",5,"{""board"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334f"",""name"":{""en"":""CBSE""}},""class"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4246"",""name"":{""en"":""class-three"",""hi"":""तीन"",""kn"":""ಮೂರು""}},""l1_skill"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334m"",""name"":{""en"":""Division"",""hi"":""भाग"",""kn"":""ಭಾಗ"",""or"":""ହରଣ""}},""l2_skill"":[{""identifier"":""0864fe37-1d25-4b0c-b9d6-c2e513dd7c56"",""name"":{""en"":""Introduction to Long division Method"",""ka"":""ಒಲವಾಯ್ತುDL2_1""},""_id"":""68498c2bcd293e78f449d024""}],""l3_skill"":[{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4230"",""name"":{""en"":""Relation between Multiplication and Division""},""_id"":""6880e07de85d99f523c6cda7""}],""_id"":""68498c2bcd293e78f449d023"",""l2_5_skill"":{""identifier"":""a99a103a-9dac-479e-8f6a-a8744d66ba02"",""name"":{""en"":""Relationship between Multiplication and Division""}}}",[],Worksheet,true,false,G3,,"[""563443a7-70b0-46f2-9211-038bb2490271""]",,live,true,qs_div_010_b,system,0,,"January 30, 2025, 11:33 AM","July 23, 2025, 1:22 PM"
68498c2bcd293e78f449d026,8013cfda-0cc9-4862-97b1-c9f8b434379c,"{""en"":""Division_Introduction to Long division Method_2.1D/2D by 1D without remainder (Quotient <=10) (whole Dividend lies in the table of Divisor)_G1_40_v1.5""}","{""en"":""""}","{""identifier"":""d8d0b0b7-5938-42e2-8393-001919b140c3"",""name"":{""en"":""AML_b""},""_id"":""68498c2bcd293e78f449d027""}",6,"{""board"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334f"",""name"":{""en"":""CBSE""}},""class"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4246"",""name"":{""en"":""class-three"",""hi"":""तीन"",""kn"":""ಮೂರು""}},""l1_skill"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334m"",""name"":{""en"":""Division"",""hi"":""भाग"",""kn"":""ಭಾಗ"",""or"":""ହରଣ""}},""l2_skill"":[{""identifier"":""0864fe37-1d25-4b0c-b9d6-c2e513dd7c56"",""name"":{""en"":""Introduction to Long division Method"",""ka"":""ಒಲವಾಯ್ತುDL2_1""},""_id"":""68498c2bcd293e78f449d029""}],""l3_skill"":[{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4231"",""name"":{""en"":""1D/2D by 1D without remainder (Quotient <=10) (whole Dividend lies in the table of Divisor)""},""_id"":""6880e07de85d99f523c6cda9""}],""_id"":""68498c2bcd293e78f449d028"",""l2_5_skill"":{""identifier"":""c582ab3b-9210-4b84-8bb8-5488c008d380"",""name"":{""en"":""1D/2D by 1D without remainder""}}}",[],Worksheet,true,false,G1,,"[""8244d353-e009-4b62-bef4-6d8227aa852e""]",,live,true,qs_div_014_b,system,0,,"January 30, 2025, 11:33 AM","July 23, 2025, 1:22 PM"
68498c2bcd293e78f449d02b,026e3080-d1da-4985-b142-fbf2ae4efc3b,"{""en"":""Division_Introduction to Long division Method_2.1D/2D by 1D without remainder (Quotient <=10) (whole Dividend lies in the table of Divisor)_G3_40_v1.5""}","{""en"":""""}","{""identifier"":""d8d0b0b7-5938-42e2-8393-001919b140c3"",""name"":{""en"":""AML_b""},""_id"":""68498c2bcd293e78f449d02c""}",7,"{""board"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334f"",""name"":{""en"":""CBSE""}},""class"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4246"",""name"":{""en"":""class-three"",""hi"":""तीन"",""kn"":""ಮೂರು""}},""l1_skill"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334m"",""name"":{""en"":""Division"",""hi"":""भाग"",""kn"":""ಭಾಗ"",""or"":""ହରଣ""}},""l2_skill"":[{""identifier"":""0864fe37-1d25-4b0c-b9d6-c2e513dd7c56"",""name"":{""en"":""Introduction to Long division Method"",""ka"":""ಒಲವಾಯ್ತುDL2_1""},""_id"":""68498c2bcd293e78f449d02e""}],""l3_skill"":[{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4231"",""name"":{""en"":""1D/2D by 1D without remainder (Quotient <=10) (whole Dividend lies in the table of Divisor)""},""_id"":""6880e07de85d99f523c6cdab""}],""_id"":""68498c2bcd293e78f449d02d"",""l2_5_skill"":{""identifier"":""c582ab3b-9210-4b84-8bb8-5488c008d380"",""name"":{""en"":""1D/2D by 1D without remainder""}}}",[],Worksheet,true,false,G3,,"[""8244d353-e009-4b62-bef4-6d8227aa852e""]",,live,true,qs_div_016_b,system,0,,"January 30, 2025, 11:33 AM","July 23, 2025, 1:22 PM"
68498c2bcd293e78f449d030,0f3e3c10-7583-4de9-8e18-7b81cc1aeb67,"{""en"":""Division_Introduction to Long division Method_3.2D by 1D without remainder\n(Where division will be done digit by digit, with only non-zero digits in Dividend)_G1_40_v1.5""}","{""en"":""""}","{""identifier"":""d8d0b0b7-5938-42e2-8393-001919b140c3"",""name"":{""en"":""AML_b""},""_id"":""68498c2bcd293e78f449d031""}",8,"{""board"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334f"",""name"":{""en"":""CBSE""}},""class"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4246"",""name"":{""en"":""class-three"",""hi"":""तीन"",""kn"":""ಮೂರು""}},""l1_skill"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334m"",""name"":{""en"":""Division"",""hi"":""भाग"",""kn"":""ಭಾಗ"",""or"":""ହରଣ""}},""l2_skill"":[{""identifier"":""0864fe37-1d25-4b0c-b9d6-c2e513dd7c56"",""name"":{""en"":""Introduction to Long division Method"",""ka"":""ಒಲವಾಯ್ತುDL2_1""},""_id"":""68498c2bcd293e78f449d033""}],""l3_skill"":[{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4232"",""name"":{""en"":""2D by 1D without remainder (Where divsion will be done digit by digit , with only non-zero digits in Dividend)""},""_id"":""6880e07de85d99f523c6cdad""}],""_id"":""68498c2bcd293e78f449d032"",""l2_5_skill"":{""identifier"":""c582ab3b-9210-4b84-8bb8-5488c008d380"",""name"":{""en"":""1D/2D by 1D without remainder""}}}",[],Worksheet,true,false,G1,,"[""2093899e-903e-4f2d-a19b-c073d5871789""]",,live,true,qs_div_020_b,system,0,,"January 30, 2025, 11:33 AM","July 23, 2025, 1:22 PM"
68498c2bcd293e78f449d035,22570726-d6ff-4989-bbb7-b00ca3862d19,"{""en"":""Division_Introduction to Long division Method_4.2D by 1D without remainder (Where division will be done digit by digit, with 0 OR non-zero digits in Dividend)_G1_20_v1.5""}","{""en"":""""}","{""identifier"":""d8d0b0b7-5938-42e2-8393-001919b140c3"",""name"":{""en"":""AML_b""},""_id"":""68498c2bcd293e78f449d036""}",9,"{""board"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334f"",""name"":{""en"":""CBSE""}},""class"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4246"",""name"":{""en"":""class-three"",""hi"":""तीन"",""kn"":""ಮೂರು""}},""l1_skill"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334m"",""name"":{""en"":""Division"",""hi"":""भाग"",""kn"":""ಭಾಗ"",""or"":""ହରଣ""}},""l2_skill"":[{""identifier"":""0864fe37-1d25-4b0c-b9d6-c2e513dd7c56"",""name"":{""en"":""Introduction to Long division Method"",""ka"":""ಒಲವಾಯ್ತುDL2_1""},""_id"":""68498c2bcd293e78f449d038""}],""l3_skill"":[{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4233"",""name"":{""en"":""2D by 1D without remainder (Where division will be done digit by digit, with 0 OR non-zero digits in Dividend)""},""_id"":""6880e07de85d99f523c6cdaf""}],""_id"":""68498c2bcd293e78f449d037"",""l2_5_skill"":{""identifier"":""c582ab3b-9210-4b84-8bb8-5488c008d380"",""name"":{""en"":""1D/2D by 1D without remainder""}}}",[],Worksheet,true,false,G1,,"[""8ea5c7f5-1e57-431c-8b77-83d6bb73deff""]",,live,true,qs_div_023_b,system,0,,"January 30, 2025, 11:33 AM","July 23, 2025, 1:22 PM"
68498c2bcd293e78f449d03a,2949243a-77aa-45c9-9fb6-a30c91ca1b84,"{""en"":""Division_Introduction to Long division Method_5.2D by 1D without remainder\n(Where remainder will be there after 1st subtraction, with 0 or non-zero digits in Dividend)_G1_40_v1.5""}","{""en"":""""}","{""identifier"":""d8d0b0b7-5938-42e2-8393-001919b140c3"",""name"":{""en"":""AML_b""},""_id"":""68498c2bcd293e78f449d03b""}",10,"{""board"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334f"",""name"":{""en"":""CBSE""}},""class"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4246"",""name"":{""en"":""class-three"",""hi"":""तीन"",""kn"":""ಮೂರು""}},""l1_skill"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334m"",""name"":{""en"":""Division"",""hi"":""भाग"",""kn"":""ಭಾಗ"",""or"":""ହରଣ""}},""l2_skill"":[{""identifier"":""0864fe37-1d25-4b0c-b9d6-c2e513dd7c56"",""name"":{""en"":""Introduction to Long division Method"",""ka"":""ಒಲವಾಯ್ತುDL2_1""},""_id"":""68498c2bcd293e78f449d03d""}],""l3_skill"":[{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4234"",""name"":{""en"":""2D by 1D without remainder (Where remainder will be there after 1st subtraction, with 0 or non-zero digits in Dividend)""},""_id"":""6880e07de85d99f523c6cdb1""}],""_id"":""68498c2bcd293e78f449d03c"",""l2_5_skill"":{""identifier"":""c582ab3b-9210-4b84-8bb8-5488c008d380"",""name"":{""en"":""1D/2D by 1D without remainder""}}}",[],Worksheet,true,false,G1,,"[""ee7e4bcc-22f0-4bfa-a20e-77a9c101fb73""]",,live,true,qs_div_026_b,system,0,,"January 30, 2025, 11:33 AM","July 23, 2025, 1:22 PM"
68498c2bcd293e78f449d03f,d6090986-f4eb-43fd-a89a-e768f641424b,"{""en"":""Division_Introduction to Long division Method_M1.MC: 0 in both Dividend and Quotient (2D by 1D)_MG3_30_v1.5""}","{""en"":""""}","{""identifier"":""d8d0b0b7-5938-42e2-8393-001919b140c3"",""name"":{""en"":""AML_b""},""_id"":""68498c2bcd293e78f449d040""}",11,"{""board"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334f"",""name"":{""en"":""CBSE""}},""class"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4246"",""name"":{""en"":""class-three"",""hi"":""तीन"",""kn"":""ಮೂರು""}},""l1_skill"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334m"",""name"":{""en"":""Division"",""hi"":""भाग"",""kn"":""ಭಾಗ"",""or"":""ହରଣ""}},""l2_skill"":[{""identifier"":""0864fe37-1d25-4b0c-b9d6-c2e513dd7c56"",""name"":{""en"":""Introduction to Long division Method"",""ka"":""ಒಲವಾಯ್ತುDL2_1""},""_id"":""68498c2bcd293e78f449d042""}],""l3_skill"":[{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4234"",""name"":{""en"":""2D by 1D without remainder (Where remainder will be there after 1st subtraction, with 0 or non-zero digits in Dividend)""},""_id"":""6880e07de85d99f523c6cdb3""}],""_id"":""68498c2bcd293e78f449d041"",""l2_5_skill"":{""identifier"":""c582ab3b-9210-4b84-8bb8-5488c008d380"",""name"":{""en"":""1D/2D by 1D without remainder""}}}",[],MC - WS,true,false,MG3,,"[""68d6b74e-e988-403f-99f1-7eed7de5c37e""]",,live,true,qs_div_031_b,system,0,,"January 30, 2025, 11:33 AM","July 23, 2025, 1:22 PM"
68498c2bcd293e78f449d047,fb50741d-bfc2-4bb4-a7d3-5c713b1204c4,"{""en"":""Division_Introduction to Long division Method_M2.MC: Choosing correct multiples (2D by 1D)_MG3_30_v1.5""}","{""en"":""""}","{""identifier"":""d8d0b0b7-5938-42e2-8393-001919b140c3"",""name"":{""en"":""AML_b""},""_id"":""68498c2bcd293e78f449d048""}",12,"{""board"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334f"",""name"":{""en"":""CBSE""}},""class"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4246"",""name"":{""en"":""class-three"",""hi"":""तीन"",""kn"":""ಮೂರು""}},""l1_skill"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334m"",""name"":{""en"":""Division"",""hi"":""भाग"",""kn"":""ಭಾಗ"",""or"":""ହରଣ""}},""l2_skill"":[{""identifier"":""0864fe37-1d25-4b0c-b9d6-c2e513dd7c56"",""name"":{""en"":""Introduction to Long division Method"",""ka"":""ಒಲವಾಯ್ತುDL2_1""},""_id"":""68498c2bcd293e78f449d04a""}],""l3_skill"":[{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4234"",""name"":{""en"":""2D by 1D without remainder (Where remainder will be there after 1st subtraction, with 0 or non-zero digits in Dividend)""},""_id"":""6880e07de85d99f523c6cdb5""}],""_id"":""68498c2bcd293e78f449d049"",""l2_5_skill"":{""identifier"":""c582ab3b-9210-4b84-8bb8-5488c008d380"",""name"":{""en"":""1D/2D by 1D without remainder""}}}",[],MC - WS,true,false,MG3,,"[""ba6887a0-22f4-40bc-bf8d-8e8646b0f335""]",,live,true,qs_div_032_b,system,0,,"January 30, 2025, 11:33 AM","July 23, 2025, 1:22 PM"
68498c2bcd293e78f449d04f,cb927859-1fbb-4339-982c-8249fc616bc8,"{""en"":""Division_Introduction to Long division Method_6.Mixed Practice 1- 1D by 1D and 2D by 1D without remainder_G4_40_v1.5""}","{""en"":""""}","{""identifier"":""d8d0b0b7-5938-42e2-8393-001919b140c3"",""name"":{""en"":""AML_b""},""_id"":""68498c2bcd293e78f449d050""}",13,"{""board"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334f"",""name"":{""en"":""CBSE""}},""class"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4246"",""name"":{""en"":""class-three"",""hi"":""तीन"",""kn"":""ಮೂರು""}},""l1_skill"":{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e334m"",""name"":{""en"":""Division"",""hi"":""भाग"",""kn"":""ಭಾಗ"",""or"":""ହରଣ""}},""l2_skill"":[{""identifier"":""0864fe37-1d25-4b0c-b9d6-c2e513dd7c56"",""name"":{""en"":""Introduction to Long division Method"",""ka"":""ಒಲವಾಯ್ತುDL2_1""},""_id"":""68498c2bcd293e78f449d052""}],""l3_skill"":[{""identifier"":""9b50a7e7-fdec-4fd7-bf63-84b3e62e4234"",""name"":{""en"":""2D by 1D without remainder (Where remainder will be there after 1st subtraction, with 0 or non-zero digits in Dividend)""},""_id"":""6880e07de85d99f523c6cdb7""}],""_id"":""68498c2bcd293e78f449d051"",""l2_5_skill"":{""identifier"":""c582ab3b-9210-4b84-8bb8-5488c008d380"",""name"":{""en"":""1D/2D by 1D without remainder""}}}",[],Mixed Practice,true,false,G4,,,,live,true,qs_div_033_b,system,0,,"January 30, 2025, 11:33 AM","July 23, 2025, 1:15 PM"
